Project #,Project Process Status,Project Type,Lead Organization,Expected - Direct Jobs Created,Expected - Direct Jobs Created over next 10 years,Expected Students involved,Expected - Sales post project,Expected - Annual Sales Created over next 10 years,Expected Environmental Impact,"Other Ecosystem Benefits (Demos, test facilities, etc.)",New Companies Created,Actual Jobs Created,Actual Added Sales - post project,Results to date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5986,Closed,Single Stage,Formula Solutions Inc.,150,250,NA,"$28,000,000.00","$260,000,000.00","By developing a domestic cascade manufacturer, the carbon footprint for Canada's aerospace industry will reduce as these parts were previously sourced from Europe or the USA.","FSI has established itself as a capable Tier 2 Aerospace Supplier through the course of the project.

46 new hires were created through this project while preserving 11 jobs that existed at the start of the project.  Another 60 jobs will be created in the next 6 months.

FSI and partners were able meet their objective of the project and produce significant new IP for a new product (VARTM process). A total of 37 IP elements were generated from all partners including:
- 8 Potential Patents
- 15 Tradesecrets",0,52,"$19,000,000.00","FSI and partners successfully developed the solution to replace silicon mandrels with rigid cast low melt alloy cores and leverages the VARTM process to produce carbon fiber cascades. Numerous advanced MFG techniques including development of a fully automated core casting station, AS9100 certification achieved, Digital Twin factory simulation developed and Lean manufacturing principles (Six Sigma). 

Overall, all partners have been able to develop new or improved systems/products for future commercialization.  This project was a great success for FSI and Canada.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6015,Closed,Pilot,KSL Lubricants Inc.,5,25,NA,"$200,000.00","$10,000,000.00",65% reduction in oil/lubricant usage during press operations,Demonstration and data from new lubrication technology for automotive stamping industry,0,0,"$500,000.00","Waste disposal	 reduced by 80%;  Clean up of work areas around press reduced by 70%;  Air quality - less oil misting, less inhalation by press operators;  Lubricant usage reduced by 65%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6268,Closed,Pilot,Sanctuary Cognitive Systems Corporation,3,65,NA,NA,NA,NA,Clinical research – prosthetics (demonstration model provided at lab).,0,4,"$300,000.00","The results from this project are not directly monetized, but they do provide a basis for which to build upon. The hand under this project will be further developed and used on the full robot/AI system to do economic work tasks.   There are several agreements in place once the full system is ready to deploy. Sanctuary also has massive market traction and interest in the use of these systems.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6625,Closed,Pilot,Panevo Services Limited,10,340,NA,"$5,000,000.00","$600,000,000.00","- improvements in efficiency to a reduction in carbon emissions and carbon intensity for manufacturers, estimate the potential to be >1 MtCO2/year (around 1% of manufacturing sector emissions).","Platform for technology development providing access to manufacturing ‘big data’, facilitating future AI / machine learning services and related software features. Features include enhanced and/or automated optimization of industrial machinery and assets.",0,4,"$4,000,000.00","Based on Panevo’s outreach campaign, it is expected that around 13% of manufacturers are interested in adopting this technology with high adoption potential in food manufacturing, fabricated metal products and miscellaneous manufacturing companies. Expected efficiency improvements will lead to productivity benefits, as well as reduction in carbon emissions and carbon intensity. Based on the estimated adoption rate per manufacturing sector and individual sector emissions as well as high level productivity improvement estimates, Panevo believes the current value to industry to be > $1 Bn/year with the potential to increase as advanced manufacturing technology adoption increases.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6687,Closed,Single Stage,Mosaic Manufacturing Ltd.,NA,275,NA,"$5,000,000.00","$75,000,000.00","With 3D printing, no machining or subtractive processes are required, and an increasingly wide range of recyclable build materials are beginning to dominate the market. Environmental sustainability is one of the aspects which has been designed into the Array platform. Customers of Array will have the ability to operate carbon neutral, where polymers processed by the system will automatically be offset through 3rd party recycling initiatives. The ability to digitally account for, and cancel out the carbon footprint of the system will allow for a never before possible level of transparency and accountability in a notoriously toxic manufacturing sector.",This project is to develop a novel industrial additive manufacturing solution called Array as well as to develop a compelling commercial application demonstrating a successful reference installation of Array to replace the reliance on a foreign supply chain with domestic digital production. ,2,55,"18,000,000","This consortium includes of some of the leading Canadian 3D printing technology companies. The consortium’s innovative technology will now be available at Canadian 3D printing resellers, helping bolster our local ecosystem, and displacing products from international competitors. They created an automated approach to 3D printing using both robotics, and software allowing for significantly higher throughput and lower labour on a low-cost system. This fundamental step change is the highest leverage outcome of this project and helps drive all other improvements. Through a Pilot Program, Mosaic enabled McMaster and TMU (Toronto Metro. University) with advanced 3D printing technologies at a discounted price. This will allow their students to better learn about 3D printing technologies and become upskilled before they enter Canada’s workforce. In addition to the potential of the combined technologies, each individual company’s technology is now better suited to succeed in the international marketplace. Mosaic and partners were able to achieve all aggressive milestones and successfully achieving completion of their pilot builds. They completed all testing which this allows and supports commercialization with valuable metrics and content. 

All partners achieved great strides in each of their specific areas of expertise. Worth noting is Redetec's advancement with hot temperature extrusion systems (RDT’s filament extrusion), PolyUnity’s introduction into the healthcare system (i3D.Health platform), Athletic Knit's advancement with printed hot-melt adhesive and Objex Unlimited’s complete torture testing and benchmarking guidance. Mosaic received excellent feedback from many (50+) stakeholders in a growing market. The launch of the WEI deal brings an expected sales growth of $18M withing the next 24 months. Innovations commercialised include: 38 new products, of which 16 are high value software and physical products. The other 22 are consumables. Athletic Knit and Mosaic were able to attract the world’s largest manufacturer of textile emblems this will place three hundred (300) Array and Vector systems with a 5-year deal valued at over $80M USD. As a direct result of this project, outside stakeholders agreed to invest $3M in additional R&D spending.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6733,Closed,Single Stage,Ranovus Inc.,0,180,NA,"$200,000.00","$350,000,000.00","In the next 10 years, expected reduction of GHG of 2,230 kTonnes/yr; NOX reductions of 4,230 tonnes/yr;  SOX reduction of 7,300 tonnes/yr;  VOCs reduction of 33 tonnes/yr",Ranovus has been partnering with McMaster University on Silicon Photonics and University of Sherbrooke and NRC on laser manufacturing. These two key components will be leveraged in this program. Ranovus has invested $10Ms in these relationships in form of NRE contribution and in-kind investment.,0,20,"$35,000,000.00","- Ranovus has completed all its deliverables.  Ranovus completed the development of the Alpha 800G module and demonstrated it at OFC tradeshow in early March 2023 as planned.

- Jabil continues to progress well with Fluxless flip-chip process to attach Ranovus Odin®8P EPIC onto the substrate. First build of functional units to commence in June 2023 with intent for stable build recipe and volume production in Q3 2023.  Jabil has proceeded with the design of a “multi” 800G Optical Engine Test architecture for volume testing. Feasibility work completed and now design work is underway.

Commercialization Update:
Ranovus market announcement of Ethernet compliant 800G Optical Engine and OSFP Module at OFC March 6, 2023, in San Diego USA. Power consumption leadership is the key driver for market opening.
• Ranovus has secured and shipped its customer orders for Odin®8P Optical Engine during the 1H 2023. Additional orders are being fulfilled in 2H 2023.
• Received and responded to Amazon RFP for 800G OSFP 2xDR4 module for 2024 deployment. * Testing of the module will need to happen with a build standard that includes Jabil in Q4 2023.
Field trials with additional module customers are planned for modules
with Jabil fluxless flipchip process in Q4 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6759,Closed,COVID-19,Sona Nanotech Inc.,16,16,NA,NA,NA,NA,"Digital platform to develop the Sona Connect app which offers and end-to-end digital platform that enhances lateral flow tests and readers improving the end user experience.
The app can capture images of the test cassette, interpret the test result, store information in the cloud and visualize test results in a dashboard.  ",0,8,"$100,000,000.00","Sona has now been transformed into a medium size rapid test manufacturing facility that has the ability to develop and manufacture multiple rapid tests. 
A development portfolio includes a rapid COVID-19 antigen test that uses both nasopharyngeal and saliva samples for both clinic and ‘at home’ self-testing as well as a test for BovineTb and concussion.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6765,Closed,COVID-19,Mosaic Manufacturing Ltd.,6,NA,NA,NA,NA,NA,"This project was to support other groups in the Ecosystem in Canada producing PPE including Deca Cables, Toronto General Hospital, McMaster University, and GoldPak who, with our support, were able to produce thousands of additional PPE. Support included sourcing of Mylar, Elastic, and Filament.",0,6,"$100,000.00","In this 3 month project, designed and produced over 20,000 face shields via 77 3D printers, across 21 locations.  Project was able to send PPE in many cases, free of charge to those in need in nursing homes, hospitals, chid care facilities, dental offices, grocery stores, and many other front line and second line areas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6773,Closed,COVID-19,Response Biomedical Corp.,NA,NA,NA,NA,NA,NA,"We are now collaborating with FIO and Luminultra on a study screening asymptomatic travelers and workers.  FIO has successfully integrated their software with our system for data management and population studies.
We have contacts and are collaborating with local care homes where outbreaks have caused a high incidence of death to enhance screening and data collection.
Collaborated with University of Alberta team on the COVID virus studies. 
We are collaborating with Dr. Jordan Feld of UHN, Senior Scientist, Toronto General Hospital Research Institute (TGHRI) on a study of the RAMP COVID-19 test in hospitalized patients",0,15,"$4,000,000.00",Project resulted in the creation of the COVID Ag Test - Point of Care (POC) antigen test to rapidly test for COVID.  POC test kits are ideal for remote communities.  Results in 5-15 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6783,Closed,COVID-19,BOMImed Inc.,2,NA,0,NA,NA,NA,NA,0,2,"$150,000.00","With our large 8-cavity moulds and semi-automated ultrasonic welding system, we will be able to produce approximately 50,000 filters per month.  The plan is to sell this new filter into existing channels (e.g. hospitals and other healthcare providers) across Canada that we already do business with.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
